geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_334,133300,Quay Street-Customs Stree,3,6,6,3,3
Statistical_Area_335,133400,Hobson Ridge Central,3,0,3,3,0
Statistical_Area_336,133500,Grey Lynn East,0,3,3,6,3
Statistical_Area_337,133600,Morningside (Auckland),6,9,6,3,12
Statistical_Area_338,133700,Shortland Street,3,3,0,3,6
Statistical_Area_339,133800,Hobson Ridge South,0,3,0,0,3
Statistical_Area_340,133900,New Lynn Central,0,0,0,3,3
Statistical_Area_341,134000,Cheltenham,6,12,12,3,12
Statistical_Area_342,134100,Queen Street South West,3,6,3,9,6
Statistical_Area_343,134200,Mount Albert Central,18,12,9,18,12
Statistical_Area_344,134300,Karangahape,3,3,3,0,9
Statistical_Area_345,134400,Kingsland,6,9,3,3,12
Statistical_Area_346,134500,Anzac Avenue,3,3,3,6,15
Statistical_Area_347,134600,Waima-Woodlands Park,9,3,6,9,6
Statistical_Area_348,134700,Kaurilands,9,9,9,9,9
Statistical_Area_349,134800,Auckland-University,3,0,0,0,0
Statistical_Area_350,134900,New Lynn Seabrook,18,12,9,15,12
Statistical_Area_351,135000,Avondale South (Auckland),12,27,15,21,15
Statistical_Area_352,135100,Symonds Street North West,0,3,0,0,3
Statistical_Area_353,135200,Mount Albert South,33,30,24,21,30
Statistical_Area_354,135300,Symonds Street West,0,6,3,6,6
Statistical_Area_355,135400,West Lynn,6,15,9,12,18
Statistical_Area_356,135500,Owairaka West,18,6,12,12,9
Statistical_Area_357,135600,New Lynn Central South,33,42,27,39,45
Statistical_Area_358,135700,The Strand,0,3,0,0,0
Statistical_Area_359,135800,St Lukes,3,6,3,3,6
Statistical_Area_360,135900,Symonds Street East,3,0,0,3,3
Statistical_Area_361,136000,Eden Terrace,3,3,0,6,6
Statistical_Area_362,136100,Grafton,15,15,12,18,12
Statistical_Area_363,136200,Eden Park,3,3,6,6,6
Statistical_Area_364,136300,Sandringham North,12,15,18,9,21
Statistical_Area_365,136400,Parnell West,6,15,9,9,12
Statistical_Area_366,136500,New Lynn South,21,15,30,18,21
Statistical_Area_367,136600,New Windsor North,12,15,9,12,15
Statistical_Area_368,136700,Titirangi South,18,18,9,15,6
Statistical_Area_369,136800,Owairaka East,6,3,6,3,9
Statistical_Area_370,136900,Eden Valley,9,12,9,12,6
Statistical_Area_371,137000,Sandringham Central,18,9,9,12,12
Statistical_Area_372,137100,Glenavon,9,3,9,12,12
Statistical_Area_373,137200,Blockhouse Bay North,12,9,24,15,24
Statistical_Area_374,137300,Green Bay North,21,15,18,18,15
Statistical_Area_375,137400,Parnell East,12,15,18,6,21
Statistical_Area_376,137500,Laingholm,9,3,12,3,9
Statistical_Area_377,137600,Sandringham West,3,3,6,3,3
Statistical_Area_378,137700,Mount Eden North East,0,3,3,0,0
Statistical_Area_379,137800,Mount Eden North,24,48,48,51,57
Statistical_Area_380,137900,Wesley West,9,18,12,9,18
Statistical_Area_381,138000,Green Bay South,27,27,30,27,21
Statistical_Area_382,138100,Balmoral,12,12,9,12,6
Statistical_Area_383,138200,Sandringham East,9,12,12,12,12
Statistical_Area_384,138300,New Windsor South,12,27,18,15,24
Statistical_Area_385,138400,Mount Eden West,3,3,9,9,6
Statistical_Area_386,138500,Newmarket,6,18,15,15,21
Statistical_Area_387,138600,Blockhouse Bay North East,9,6,12,6,9
Statistical_Area_388,138700,Epsom North,18,12,15,6,18
Statistical_Area_389,138800,Wesley South,0,0,0,0,0
Statistical_Area_390,138900,Blockhouse Bay South,54,57,45,45,72
Statistical_Area_391,139000,Mount Eden East,9,9,6,3,9
Statistical_Area_392,139100,Wesley East,9,6,12,9,12
Statistical_Area_393,139200,Orakei West,12,12,9,21,15
Statistical_Area_394,139300,Maungawhau,3,6,9,6,9
Statistical_Area_395,139400,Remuera West,12,12,6,9,6
Statistical_Area_396,139500,Blockhouse Bay East,42,30,42,45,42
Statistical_Area_397,139600,Lynfield North,9,12,6,6,12
Statistical_Area_398,139700,Mount Roskill North,27,21,12,24,18
Statistical_Area_399,139800,Mount Roskill White Swan,18,15,21,24,18
Statistical_Area_400,139900,Mount Eden South,6,6,15,3,9
Statistical_Area_401,140000,Remuera Waitaramoa,21,6,24,18,9
